,Requirement ID,Functional Capability - Level 1,Functional Capability - Level 2,Approval Workflow Process Step,Requirement Description,Priority,Requirement Reference,ABC Function Map,Module,Response Type,Comments,Vendor Score,DMS Interaction
,21,Planning,Business Strategy,A. Preliminary Stakeholder Engagement and Planning,Ability to set funding limits for each sector and asset classes,Must Have,Workshop,Business,,,,,N
,22,Planning,Business Strategy,A. Preliminary Stakeholder Engagement and Planning,"Ability to create a Call Report / MoM (with the date of engagement, location, stakeholder name, topic, ABC attendees, etc.) for every preliminary stakeholder engagement. The system should provide a page where the user can create a call report document based on the predefined template. ",Must Have,Workshop,Business,,,,,N
,23,Planning,Business Strategy,A. Preliminary Stakeholder Engagement and Planning,Ability to add/update/delete any attribute to the Call Report / MoM template,Must Have,Workshop,Business,,,,,N
,24,Planning,Business Strategy,A. Preliminary Stakeholder Engagement and Planning,Ability to upload the Call Report / MoM to the Document Management System,Must Have,Workshop,Business,,,,,Y
,25,Planning,Business Strategy,A. Preliminary Stakeholder Engagement and Planning,Ability to send notifications to the internal team for the Call Report / MoM review and update ,Must Have,Workshop,Business,,,,,N
,26,Planning,Business Strategy,A. Preliminary Stakeholder Engagement and Planning,Ability to send email the Call Report / MoM to external stakeholders ,Must Have,Workshop,Business,,,,,N
,27,Planning,Business Strategy,A. Preliminary Stakeholder Engagement and Planning,Ability to grant a specific user or set of users access to the Call Report / MoM with sensitive information,Must Have,Workshop,Business,,,,,N
,28,Planning,Business Strategy,A. Preliminary Stakeholder Engagement and Planning,Ability to send notifications to a specific user or set of users once the Call Report / MoM with sensitive information is created/updated,Must Have,Workshop,Business,,,,,N
,29,Planning,Business Strategy,A. Preliminary Stakeholder Engagement and Planning,Ability to upload the Call Report / MoM with sensitive information to the Document Management System with restricted access to the designated user/users. The system should provide access to the designated user/users only to download these Call Reports / MoMs,Must Have,Workshop,Business,,,,,Y
,,Coverage,,,,,,,,,,,
,,Coverage,Engagement,,,,,,,,,,
,30,Coverage,Engagement,1. Initiate Stakeholder Engagement / Calls,The initial engagement with stakeholders and calls are handled outside of the CRM and Workflow solution ,Must Have,Industry Standard,Business,,,,,N
,31,Coverage,Engagement,2. Create and Manage Stakeholder Account,"Ability to create stakeholder accounts (for clients, contractors, developers, procurers, any 3rd party, etc.). The system should provide a page where a user can create stakeholder accounts linked to the opportunity",Must Have,Industry Standard,Business,,,,,N
,32,Coverage,Engagement,2. Create and Manage Stakeholder Account,Ability to add/update/delete any type of attribute for account creation,Must Have,Industry Standard,Business,,,,,N
,33,Coverage,Engagement,2. Create and Manage Stakeholder Account,Ability to manage account attribute metadata centrally to change the attribute names automatically for all existing accounts,Must Have,Industry Standard,Business,,,,,N
,34,Coverage,Engagement,2. Create and Manage Stakeholder Account,Ability to view the transaction details associated with the account,Must Have,Industry Standard,Business,,,,,N
,35,Coverage,Engagement,2. Create and Manage Stakeholder Account,Ability to identify priority accounts based on the predefined rules,Must Have,Industry Standard,Business,,,,,N
,36,Coverage,Engagement,2. Create and Manage Stakeholder Account,"Ability to create an engagement plan for the account with specific milestone dates, and activities/actions (e.g. meetings, calls, document requests, etc.)",Must Have,Industry Standard,Business,,,,,N
,37,Coverage,Engagement,2. Create and Manage Stakeholder Account,"Ability to take action as per defined plan (schedule meeting, or phone call, etc.)",Must Have,Industry Standard,Business,,,,,N
,38,Coverage,Engagement,2. Create and Manage Stakeholder Account,Ability to perform bulk action on the stakeholder account specific plan,Must Have,Industry Standard,Business,,,,,N
,39,Coverage,Engagement,2. Create and Manage Stakeholder Account,"Ability to revise an engagement plan for the account with specific milestone dates, and activities/actions (e.g. meetings, calls, document requests, etc.)",Must Have,Industry Standard,Business,,,,,N
,40,Coverage,Engagement,2. Create and Manage Stakeholder Account,"Ability to link stakeholder engagement model, MoUs, MoMs (stored in the Document Management System) with the contacts and stakeholder accounts",Must Have,Workshop,Business,,,,,Y
,41,Coverage,Engagement,2. Create and Manage Stakeholder Account,Ability to export and import stakeholder account details in excel format,Must Have,Industry Standard,Business,,,,,N
,42,Coverage,Engagement,2. Create and Manage Stakeholder Account,"Ability to add stakeholder organization structure (designation, role, etc.) within each account ",Must Have,Industry Standard,Business,,,,,N
,43,Coverage,Engagement,2. Create and Manage Stakeholder Account,"Ability to create dashboards with all transactions, associated activities, upcoming follow-up (meeting or phone call) details, etc. at the account level for client engagement ",Must Have,Industry Standard,Business,,,,,N
,44,Coverage,Engagement,2. Create and Manage Stakeholder Account,"Ability to take action on the individual transaction/deal as per defined activities (schedule meeting, or phone call, etc.) at the account level",Must Have,Industry Standard,Business,,,,,N
,45,Coverage,Engagement,3. Create and Manage Contacts,"Ability to add contact details ((e.g. name, address, email, phone number, alternate contact number, etc.) to the accounts",Must Have,Industry Standard,Business,,,,,N
,46,Coverage,Engagement,3. Create and Manage Contacts,Ability to update/delete contact details associated with the accounts,Must Have,Industry Standard,Business,,,,,N
,47,Coverage,Engagement,3. Create and Manage Contacts,Ability to update/delete any type of attribute for account creation,Must Have,Industry Standard,Business,,,,,N
,48,Coverage,Engagement,3. Create and Manage Contacts,Ability to view the transaction details associated with the contacts,Must Have,Industry Standard,Business,,,,,N
,49,Coverage,Engagement,3. Create and Manage Contacts,Ability to export and import contact details in excel format,Must Have,Industry Standard,Business,,,,,N
,50,Coverage,Engagement,3. Create and Manage Contacts,Ability to assign contact details to the organization structure ,Must Have,Industry Standard,Business,,,,,N
,51,Coverage,Engagement,3. Create and Manage Contacts,Ability to view/edit stakeholder organization structure through visualization,Must Have,Industry Standard,Business,,,,,N
,52,Coverage,Engagement,3. Create and Manage Contacts,Ability to validate email Ids associated with the contacts,Must Have,Industry Standard,Business,,,,,N
,53,Coverage,Engagement,3. Create and Manage Contacts,"Ability to retrieve contact information (additional details) from social networks (linkedin, etc.)",Must Have,Industry Standard,Business,,,,,N
,54,Coverage,Engagement,3. Create and Manage Contacts,Ability to compose and send emails to the contact from the system,Must Have,Industry Standard,Business,,,,,N
,55,Coverage,Engagement,3. Create and Manage Contacts,Ability to read and respond to the email from the contact,Must Have,Industry Standard,Business,,,,,N
,56,Coverage,Engagement,3. Create and Manage Contacts,Ability to check email history for any contact,Must Have,Industry Standard,Business,,,,,N
,57,Coverage,Engagement,3. Create and Manage Contacts,Ability to schedule meeting with any contact,Must Have,Industry Standard,Business,,,,,N
,58,Coverage,Engagement,3. Create and Manage Contacts,Ability to chat with any contact and internal team member using collaboration platform e.g. MS Teams,Must Have,Industry Standard,Business,,,,,N
,59,Coverage,Engagement,3. Create and Manage Contacts,Ability to associate chat history with the contact,Must Have,Industry Standard,Business,,,,,N
,60,Coverage,Engagement,4. Prepare Call Report / MoMs,"Ability to create a Call Report / MoM (with the date of engagement, location, stakeholder name, topic, ABC attendees, etc.) for every stakeholder engagement. The system should provide a page where the user can create a call report document based on the predefined template. Call Report / MoM creation is an iterative process step that will be used during any stakeholder engagement (meetings/calls) within the investment approval lifecycle.",Must Have,ABC_SP_Call_Report_03.1.23_v1.1,Business,,,,,N
,61,Coverage,Engagement,4. Prepare Call Report / MoMs,Ability to submit the Call Report / MoM for the internal team's review/approval through a pre-defined workflow,Must Have,Workshop,Business,,,,,N
,62,Coverage,Engagement,4. Prepare Call Report / MoMs,Ability to add/update/delete any attribute to the Call Report / MoM template,Must Have,Industry Standard,Business,,,,,N
,63,Coverage,Engagement,4. Prepare Call Report / MoMs,Ability to upload the Call Report / MoM to the Document Management System,Must Have,Industry Standard,Business,,,,,Y
,64,Coverage,Engagement,4. Prepare Call Report / MoMs,Ability to send notifications to the internal team for the Call Report / MoM review and update ,Must Have,Industry Standard,Business,,,,,N
,65,Coverage,Engagement,4. Prepare Call Report / MoMs,Ability to send email the Call Report / MoM to external stakeholders ,Must Have,Industry Standard,Business,,,,,N
,66,Coverage,Engagement,4. Prepare Call Report / MoMs,Ability to grant a specific user or set of users access to the Call Report / MoM with sensitive information,Must Have,Workshop,Business,,,,,N
,67,Coverage,Engagement,4. Prepare Call Report / MoMs,Ability to send notifications to a specific user or set of users once the Call Report / MoM with sensitive information is created/updated,Must Have,Workshop,Business,,,,,N
,68,Coverage,Engagement,4. Prepare Call Report / MoMs,Ability to upload the Call Report / MoM with sensitive information to the Document Management System with restricted access to the designated user/users. The system should provide access to the designated user/users only to download these Call Reports / MoMs,Must Have,Workshop,Business,,,,,Y
,69,Coverage,Engagement,"5. Upload Stakeholder Documents (MoUs, etc.) ","Ability to upload stakeholder documents e.g. MoU, Stakeholder strategy, financial reports, etc. to the Document Management System directly from the CRM & Workflow solution",Must Have,Workshop,Business,,,,,Y
,70,Coverage,Engagement,"5. Upload Stakeholder Documents (MoUs, etc.) ",Ability to link the documents to the stakeholder account and contacts from the UI,Must Have,Industry Standard,Business,,,,,N
,71,Coverage,Engagement,"5. Upload Stakeholder Documents (MoUs, etc.) ",Ability to create the logical folder structure to group the stakeholder documents from the UI,Must Have,Industry Standard,Business,,,,,Y
,72,Coverage,Engagement,"5. Upload Stakeholder Documents (MoUs, etc.) ","Ability to assign document category (e.g. Stakeholder Strategy, MoU, Organization Structure, etc.) to the uploaded documents",Must Have,Industry Standard,Business,,,,,Y
,73,Coverage,Engagement,"5. Upload Stakeholder Documents (MoUs, etc.) ","Ability to provide the summary of documents with different attributes e.g. document category, uploaded by, date, etc.",Must Have,Industry Standard,Business,,,,,N
,,Coverage,Sourcing,,,,,,,,,,
,74,Coverage,Sourcing,6. Create Business Opportunity,"Ability to add a new Opportunity with details (in different sections) e.g. Project Highlights, Project Details, Targeted ABC Financing, Project Status, Key Project Dates, etc. associated with the stakeholder account. The system should provide a button for the user to enter the initial information as per requirement",Must Have,ABC_SP_ABC_Pipeline Tracker_24.08.23,Business,,,,,N
,75,Coverage,Sourcing,6. Create Business Opportunity,Ability to set the owner of the transaction automatically based on the user type (during the creation of the  opportunity and the system should update the owner as per the transaction state in the approval cycle,Must Have,ABC_SP_ABC_Pipeline Tracker_24.08.23,Business,,,,,N
,76,Coverage,Sourcing,6. Create Business Opportunity,Ability to set the ABC team structure to the opportunity  ,Must Have,ABC_SP_ABC_Pipeline Tracker_24.08.23,Business,,,,,N
,77,Coverage,Sourcing,6. Create Business Opportunity,Ability to provide comments and set action items to the opportunity ,Must Have,ABC_SP_ABC_Pipeline Tracker_24.08.23,Business,,,,,N
,78,Coverage,Sourcing,6. Create Business Opportunity,"Ability to update details e.g. Origination Channel, Procurer, Total Debt, etc. in the specific section of the opportunity creation page",Must Have,ABC_SP_ABC_Pipeline Tracker_24.08.23,Business,,,,,N
,79,Coverage,Sourcing,6. Create Business Opportunity,"Ability to calculate the durations (in days) for each stage of the opportunity e.g. number of days from Initial engagement to NWBG Approval, number of days from the approval of NWBG until GLM, number of days from the approval of GLM to TAM, etc.",Must Have,Workshop,Business,,,,,N
,80,Coverage,Sourcing,6. Create Business Opportunity,Ability to populate some of the opportunity details from the stakeholder account automatically,Must Have,Workshop,Business,,,,,N
,81,Coverage,Sourcing,7. Create Due Diligence Tracker,"Ability to create a Due Diligence Questionnaires for the transaction based on the pre-defined template with the list of required documents/deliverables and contents for each document/deliverable including attributes e.g. Source Document, Responsible, Document / Deliverable Name, Content, Status, Comments, Risk Type, Sub-Risk Type, etc. The system should provide a page for the user to enter due diligence details and continue updating the same during transaction approval cycle",Must Have,ABC_SP_Due_Dilligence_Tracker_31.07.23 DRAFT.xlsx,Business,,,,,N
,82,Coverage,Sourcing,7. Create Due Diligence Tracker,"Ability to populate Document / Deliverable Name, Content (mapped with Document / Deliverable), Risk Type and Sub-Risk Type (mapped with each Content) based on the guideline ",Must Have,Workshop,Business,,,,,N
,83,Coverage,Sourcing,7. Create Due Diligence Tracker,Ability to update the status of the document automatically based on the documents uploaded for the transaction ,Must Have,Workshop,Business,,,,,N
,84,Coverage,Sourcing,7. Create Due Diligence Tracker,Ability to validate if the list of documents is appropriately updated in due diligence questionnaires based on pre-defined guideline/metadata and prompt the user with the missing document name/s so the list can be updated,Must Have,Workshop,Business,,,,,N
,85,Coverage,Sourcing,7. Create Due Diligence Tracker,Ability to add/update/delete any attribute and formula to the due diligence questionnaires,Must Have,Industry Standard,Business,,,,,N
,86,Coverage,Sourcing,7. Create Due Diligence Tracker,"Ability to create Q&A and Issues List Tracker for the transaction with attributes e.g. Topic, Question / Issue, Answer, Comment, Date question raised, Date, etc. ",Must Have,ABC_SP_Due_Dilligence_Tracker_31.07.23 DRAFT.xlsx,Business,,,,,N
,87,Coverage,Sourcing,7. Create Due Diligence Tracker,"Ability to add different topic categories for the Q&A and Issues e.g. Borrower information and analysis, Legal due diligence, etc.",Must Have,ABC_SP_Due_Dilligence_Tracker_31.07.23 DRAFT.xlsx,Business,,,,,N
,88,Coverage,Sourcing,7. Create Due Diligence Tracker,Ability to add/update/delete any attribute and formula to the Q&A and Issues List Tracker,Must Have,Industry Standard,Business,,,,,N
,89,Coverage,Sourcing,7. Create Due Diligence Tracker,Ability to track the Q&A and Issues based on the status of the individual Q&A and Issue,Must Have,Industry Standard,Business,,,,,N
,,Assessment,,,,,,,,,,,
,,Assessment,Initial Assessment ,,,,,,,,,,
,90,Assessment,Initial Assessment ,8. Map Direct/ Indirect Counterparty Relationships and Check Sector / Client Exposure Limits,Ability to map direct counterparties to the opportunity from the UI,Must Have,Workshop,Business,,,,,N
,91,Assessment,Initial Assessment ,8. Map Direct/ Indirect Counterparty Relationships and Check Sector / Client Exposure Limits,Ability to map indirect counterparties to the opportunity from the UI,Must Have,Workshop,Business,,,,,N
,92,Assessment,Initial Assessment ,8. Map Direct/ Indirect Counterparty Relationships and Check Sector / Client Exposure Limits,Ability to show the direct and indirect counterparty list from the system,Must Have,Workshop,Business,,,,,N
,93,Assessment,Initial Assessment ,8. Map Direct/ Indirect Counterparty Relationships and Check Sector / Client Exposure Limits,"Ability to search the direct and indirect counterparty based on exact name, key words, etc.",Must Have,Workshop,Business,,,,,N
,94,Assessment,Initial Assessment ,8. Map Direct/ Indirect Counterparty Relationships and Check Sector / Client Exposure Limits,"Ability to check the sector limits, client exposure limits, concentration from the system as per the Investment and Risk policy",Must Have,Workshop,Business,,,,,N
,95,Assessment,Initial Assessment ,9. Performs Minimum Readiness Check,"Ability to create the transaction readiness score card based on the formula (Minimum Readiness Guideline) with different attributes e.g. Financial Model, Advisor(s) Onboard, Contractors Identified, Contractual Readiness, Regulatory Framework, Feasibility Study Report, etc. The system should provide a page for the user to enter the required information and the system should generate the readiness score",Must Have,Minimum guidelines for Readiness_24.08.231,Business,,,,,N
,96,Assessment,Initial Assessment ,9. Performs Minimum Readiness Check,Ability to pre-populate some readiness score card attributes based on the information associated with the transaction ,Must Have,Industry Standard,Business,,,,,N
,97,Assessment,Initial Assessment ,9. Performs Minimum Readiness Check,Ability to add/update/delete any attribute and formula to the Transaction Readiness Score dashboard,Must Have,Industry Standard,Business,,,,,N
,98,Assessment,Initial Assessment ,9. Performs Minimum Readiness Check,Ability to validate if the readiness score card appropriately updated based on pre-defined guidelines/metadata and prompt the user with the missing information so the score card can be updated,Must Have,Industry Standard,Business,,,,,N
,99,Assessment,Initial Assessment ,9. Performs Minimum Readiness Check,Ability to capture the comments/rationale on the readiness check outcome (success/fail) and generate a PDF file of all comments and rationale. The system should be able to upload the PDF file to the Document Management System.,Must Have,Workshop,Business,,,,,Y
,100,Assessment,Initial Assessment ,10. Process KYC (Legal & Compliance),Ability to collect KYC documents as per Investment & Risk policy guidelines for KYC for the transaction and upload the KYC documents in the Document Management System. The system should provide a page for the user to identify the required KYC documents and the user should be able to upload the same through the CRM & Workflow solution's page.,Must Have,Workshop,Business,,,,,Y
,101,Assessment,Initial Assessment ,10. Process KYC (Legal & Compliance),Ability to send a list of documents along with the document link for KYC verifications,Must Have,ABC_SP_New_Client Screening_Matrix_10.01.23_v 1.3,Business,,,,,N
,102,Assessment,Initial Assessment ,10. Process KYC (Legal & Compliance),Ability to send notification to the Legal & Compliance department once the KYC documents list is submitted,Must Have,Industry Standard,Business,,,,,N
,103,Assessment,Initial Assessment ,10. Process KYC (Legal & Compliance),Ability to download KYC documents from the document list ,Must Have,Workshop,Legal & Compliance,,,,,N
,104,Assessment,Initial Assessment ,10. Process KYC (Legal & Compliance),Ability to perform compliance check based on the compliance documents and compliance criteria defined in the Investment and Risk policy document ,Must Have,Workshop,Legal & Compliance,,,,,N
,105,Assessment,Initial Assessment ,10. Process KYC (Legal & Compliance),Ability to provide KYC review comments for each document type and capture overall comments/rationale on the KYC verification outcome (success/fail). The system should be able to upload the PDF file to the Document Management System.,Must Have,Workshop,Legal & Compliance,,,,,Y
,106,Assessment,Initial Assessment ,10. Process KYC (Legal & Compliance),Ability to identify additional KYC document requirements automatically based on the review comments,Must Have,Workshop,Business,,,,,N
,107,Assessment,Initial Assessment ,10. Process KYC (Legal & Compliance),Ability to send notification to the Business team for additional KYC document requirements,Must Have,Workshop,Legal & Compliance,,,,,N
,108,Assessment,Initial Assessment ,10. Process KYC (Legal & Compliance),Ability to send email to the client/stakeholder for additional KYC document requirements,Must Have,ABC_SP_New_Client Screening_Matrix_10.01.23_v 1.3,Business,,,,,N
,,Assessment,Screening,,,,,,,,,,
,109,Assessment,Screening,11. Opportunity Assessment (Focus Criteria),"Ability to perform the opportunity assessment based on the formula (Focus Criteria) with different attributes e.g. Feasibility, Sector, Readiness, Bankability, Deepening, Developmental, Additionality, etc. The system should provide a page for the user to enter the required information and the system should generate the score",Must Have,ABC_SP_Focus Criteria 09.01.23_v 1.5.2.xlsx,Business,,,,,N
,110,Assessment,Screening,11. Opportunity Assessment (Focus Criteria),Ability to pre-populate some opportunity attributes based on the information associated with the transaction ,Must Have,Industry Standard,Business,,,,,N
,111,Assessment,Screening,11. Opportunity Assessment (Focus Criteria),Ability to add/update/delete any attribute and formula to the assessment dashboard,Must Have,Industry Standard,Business,,,,,N
,112,Assessment,Screening,11. Opportunity Assessment (Focus Criteria),Ability to validate if the assessment attributes are appropriately updated based on pre-defined guidelines/metadata and prompt the user with the missing information so the  assessment page can be updated,Must Have,Industry Standard,Business,,,,,N
,113,Assessment,Screening,12. Update Due Diligence Tracker ,"Ability to update Due Diligence Questionnaires for the transaction with the list of required documents/deliverables and contents for each document/deliverable including attributes e.g. Source Document, Responsible, Document / Deliverable Name, Content, Status, Comments, Risk Type, Sub-Risk Type, etc. ",Must Have,ABC_SP_Due_Dilligence_Tracker_31.07.23 DRAFT.xlsx,Business,,,,,N
,114,Assessment,Screening,12. Update Due Diligence Tracker ,"Ability to populate Document / Deliverable Name, Content (mapped with Document / Deliverable), Risk Type and Sub-Risk Type (mapped with each Content) based on the guideline ",Must Have,Workshop,Business,,,,,N
,115,Assessment,Screening,12. Update Due Diligence Tracker ,Ability to update the status of the document automatically based on the documents uploaded for the transaction ,Must Have,Workshop,Business,,,,,N
,116,Assessment,Screening,12. Update Due Diligence Tracker ,Ability to validate if the list of documents is appropriately updated in due diligence questionnaires based on pre-defined guideline/metadata and prompt the user with the missing document name/s so the list can be updated,Must Have,Workshop,Business,,,,,N
,117,Assessment,Screening,12. Update Due Diligence Tracker ,Ability to add/update/delete any attribute and formula to the due diligence questionnaires,Must Have,Industry Standard,Business,,,,,N
,118,Assessment,Screening,12. Update Due Diligence Tracker ,"Ability to update Q&A and Issues List Tracker for the transaction with attributes e.g. Topic, Question / Issue, Answer, Comment, Date question raised, Date, etc. ",Must Have,ABC_SP_Due_Dilligence_Tracker_31.07.23 DRAFT.xlsx,Business,,,,,N
,119,Assessment,Screening,12. Update Due Diligence Tracker ,"Ability to add/update different topic categories for the Q&A and Issues e.g. Borrower information and analysis, Legal due diligence, etc.",Must Have,ABC_SP_Due_Dilligence_Tracker_31.07.23 DRAFT.xlsx,Business,,,,,N
,120,Assessment,Screening,12. Update Due Diligence Tracker ,Ability to add/update/delete any attribute and formula to the Q&A and Issues List Tracker,Must Have,Industry Standard,Business,,,,,N
,121,Assessment,Screening,12. Update Due Diligence Tracker ,Ability to track the Q&A and Issues based on the status of the individual Q&A and Issue,Must Have,Industry Standard,Business,,,,,N
,122,Assessment,Screening,13. Prepare Screening Memo,"Ability to create multi-page Screening Memo with the following page views/attributes. The system should provide a page for the user (or users) to create multi-page document with different layouts, shapes, text, etc. based on a pre-defined Screening Memo template.",Must Have,ABC_SP_WS4_Screening_Memo_31.07.23 DRAFT.pptx,Business,,,,,N
,123,Assessment,Screening,13. Prepare Screening Memo,"- Ability to create a cover page with pre-defined layouts, images, text areas,  etc.",Must Have,ABC_SP_WS4_Screening_Memo_31.07.23 DRAFT.pptx,Business,,,,,N
,124,Assessment,Screening,13. Prepare Screening Memo,"- Ability to create a manual page with different shapes, text areas, etc.",Must Have,ABC_SP_WS4_Screening_Memo_31.07.23 DRAFT.pptx,Business,,,,,N
,125,Assessment,Screening,13. Prepare Screening Memo,"- Ability to create a transaction overview page with different shapes, maps, images, text areas, etc.. The system should be able to pre-populate some of the text areas, attributes, etc. based on the transaction specific identifiers (as per configuration)",Must Have,ABC_SP_WS4_Screening_Memo_31.07.23 DRAFT.pptx,Business,,,,,N
,126,Assessment,Screening,13. Prepare Screening Memo,"- Ability to create a Project Structure and Background page with different shapes, text areas, etc.. The system should be able to pre-populate some of the text areas, attributes, etc. based on the transaction specific identifiers (as per configuration). The system should also provide the ability to change the position of the shapes, text areas, etc. through UI and allow the addition of shapes/designs through ",Must Have,ABC_SP_WS4_Screening_Memo_31.07.23 DRAFT.pptx,Business,,,,,N
,127,Assessment,Screening,13. Prepare Screening Memo,"- Ability to create a Project Financial Details and Preliminary Terms and Conditions page with different shapes, text areas, etc.. The system should be able to pre-populate some of the text areas, attributes, etc. based on the transaction specific identifiers (as per configuration). The system should also provide the ability to change the position of the shapes, text areas, etc. through UI and allow the addition of shapes/designs.",Must Have,ABC_SP_WS4_Screening_Memo_31.07.23 DRAFT.pptx,Business,,,,,N
,128,Assessment,Screening,13. Prepare Screening Memo,"- Ability to create a Focus Criteria page with different shapes, text areas, etc.. The system should be able to pre-populate some of the text areas, attributes, etc. based on the transaction specific identifiers (as per configuration). The system should also provide the ability to change the position of the shapes, text areas, etc. through UI and allow the addition of shapes/designs through ",Must Have,ABC_SP_WS4_Screening_Memo_31.07.23 DRAFT.pptx,Business,,,,,N
,129,Assessment,Screening,13. Prepare Screening Memo,"- Ability to create additional pages as per requirement with different shapes, tables, images, text areas, etc.. The system should be able to pre-populate some of the text areas, attributes, etc. based on the transaction specific identifiers (as per configuration).",Must Have,ABC_SP_WS4_Screening_Memo_31.07.23 DRAFT.pptx,Business,,,,,N
,130,Assessment,Screening,13. Prepare Screening Memo,Ability to link any document in the Document Management System from any page and directly access the document. Ability to add any additional document to the list (through drop-down) and upload the document in DMS. Ability to upload full Screening Memo in Document Management System before/after approval.,Must Have,Workshop,Business,,,,,Y
